Away,Date,Half_time,Home,Score
 Torino,Sa 19 Sep,(0-0),Fiorentina ,1 - 0
 AS Roma,Sa 19 Sep,(3-0),Hellas Verona ,3 - 0
 Napoli,Su 20 Sep,(0-0),Parma ,0 - 2
 Crotone,Su 20 Sep,(3-1),Genoa ,4 - 1
 Cagliari,Su 20 Sep,(0-0),Sassuolo ,1 - 1
 Sampdoria,Su 20 Sep,(1-0),Juventus ,3 - 0
 Bologna,Mo 21 Sep,(1-0),AC Milan ,2 - 0
 Atalanta,Sa 26 Sep,(2-3),Torino ,2 - 4
 Lazio,Sa 26 Sep,(0-1),Cagliari ,0 - 2
 Benevento,Sa 26 Sep,(2-1),Sampdoria ,2 - 3
 Fiorentina,Sa 26 Sep,(1-1),Inter Milan ,4 - 3
 Sassuolo,Su 27 Sep,(1-1),Spezia ,1 - 4
 Udinese,Su 27 Sep,(0-0),Hellas Verona ,1 - 0
 AC Milan,Su 27 Sep,(0-1),Crotone ,0 - 2
 Genoa,Su 27 Sep,(1-0),Napoli ,6 - 0
 Juventus,Su 27 Sep,(2-1),AS Roma ,2 - 2
 Parma,Mo 28 Sep,(2-0),Bologna ,4 - 1
 Inter Milan,We 30 Sep,(1-4),Benevento ,2 - 5
 Spezia,We 30 Sep,(0-1),Udinese ,0 - 2
 Atalanta,We 30 Sep,(0-3),Lazio ,1 - 4
 Sampdoria,Fr 2 Oct,(0-1),Fiorentina ,1 - 2
 Crotone,Sa 3 Oct,(1-0),Sassuolo ,4 - 1
 AS Roma,Sa 3 Oct,(0-0),Udinese ,0 - 1
 Cagliari,Su 4 Oct,(4-1),Atalanta ,5 - 2
 Bologna,Su 4 Oct,(0-0),Benevento ,1 - 0
 Inter Milan,Su 4 Oct,(0-1),Lazio ,1 - 1
 Hellas Verona,Su 4 Oct,(1-0),Parma ,1 - 0
 Spezia,Su 4 Oct,(0-0),AC Milan ,3 - 0
 Atalanta,Sa 17 Oct,(4-0),Napoli ,4 - 1
 AC Milan,Sa 17 Oct,(1-2),Inter Milan ,1 - 2
 Lazio,Sa 17 Oct,(2-0),Sampdoria ,3 - 0
 Juventus,Sa 17 Oct,(1-1),Crotone ,1 - 1
 Sassuolo,Su 18 Oct,(2-1),Bologna ,3 - 4
 Fiorentina,Su 18 Oct,(1-2),Spezia ,2 - 2
 Cagliari,Su 18 Oct,(1-2),Torino ,2 - 3
 Parma,Su 18 Oct,(1-1),Udinese ,3 - 2
 Benevento,Su 18 Oct,(2-1),AS Roma ,5 - 2
 Genoa,Mo 19 Oct,(0-0),Hellas Verona ,0 - 0
 Torino,Fr 23 Oct,(0-1),Sassuolo ,3 - 3
 Sampdoria,Sa 24 Oct,(0-1),Atalanta ,1 - 3
 Inter Milan,Sa 24 Oct,(0-0),Genoa ,0 - 2
 Bologna,Sa 24 Oct,(0-0),Lazio ,2 - 1
 Crotone,Su 25 Oct,(3-2),Cagliari ,4 - 2
 Napoli,Su 25 Oct,(1-0),Benevento ,1 - 2
 Spezia,Su 25 Oct,(1-2),Parma ,2 - 2
 Udinese,Su 25 Oct,(2-1),Fiorentina ,3 - 2
 Hellas Verona,Su 25 Oct,(0-0),Juventus ,1 - 1
 AS Roma,Mo 26 Oct,(1-1),AC Milan ,3 - 3
 Atalanta,Sa 31 Oct,(1-2),Crotone ,1 - 2
 Parma,Sa 31 Oct,(0-0),Inter Milan ,2 - 2
 Cagliari,Sa 31 Oct,(1-1),Bologna ,3 - 2
 AC Milan,Su 1 Nov,(0-1),Udinese ,1 - 2
 Juventus,Su 1 Nov,(1-1),Spezia ,1 - 4
 Lazio,Su 1 Nov,(2-1),Torino ,3 - 4
 Fiorentina,Su 1 Nov,(1-0),AS Roma ,2 - 0
 Sassuolo,Su 1 Nov,(0-0),Napoli ,0 - 2
 Genoa,Su 1 Nov,(1-1),Sampdoria ,1 - 1
 Benevento,Mo 2 Nov,(1-0),Hellas Verona ,3 - 1
 Torino,We 4 Nov,(0-2),Genoa ,1 - 2
 Udinese,Fr 6 Nov,(0-0),Sassuolo ,0 - 0
 Sampdoria,Sa 7 Nov,(0-0),Cagliari ,2 - 0
 Spezia,Sa 7 Nov,(0-1),Benevento ,0 - 3
 Fiorentina,Sa 7 Nov,(0-0),Parma ,0 - 0
 Juventus,Su 8 Nov,(0-1),Lazio ,1 - 1
 Inter Milan,Su 8 Nov,(0-0),Atalanta ,1 - 1
 AS Roma,Su 8 Nov,(0-1),Genoa ,1 - 3
 Crotone,Su 8 Nov,(0-0),Torino ,0 - 0
 Napoli,Su 8 Nov,(0-1),Bologna ,0 - 1
 Hellas Verona,Su 8 Nov,(1-2),AC Milan ,2 - 2
 Lazio,Sa 21 Nov,(0-1),Crotone ,0 - 2
 Atalanta,Sa 21 Nov,(0-0),Spezia ,0 - 0
 Cagliari,Sa 21 Nov,(2-0),Juventus ,2 - 0
 Benevento,Su 22 Nov,(0-0),Fiorentina ,0 - 1
 Parma,Su 22 Nov,(3-0),AS Roma ,3 - 0
 Sassuolo,Su 22 Nov,(0-1),Hellas Verona ,0 - 2
 Torino,Su 22 Nov,(0-1),Inter Milan ,4 - 2
 Bologna,Su 22 Nov,(1-1),Sampdoria ,1 - 2
 Genoa,Su 22 Nov,(1-0),Udinese ,1 - 0
 AC Milan,Su 22 Nov,(0-1),Napoli ,1 - 3
 Inter Milan,Sa 28 Nov,(0-2),Sassuolo ,0 - 3
 Juventus,Sa 28 Nov,(1-1),Benevento ,1 - 1
 Hellas Verona,Sa 28 Nov,(0-0),Atalanta ,0 - 2
 Udinese,Su 29 Nov,(0-2),Lazio ,1 - 3
