Away,Date,Home,Score
Juventus,18/08/18,Chievo,2-3
Napoli,18/08/18,Lazio,1-2
AS Roma,18/08/19,Torino,0-1
SPAL,18/08/19,Bologna,0-1
Udinese,18/08/19,Parma,2-2
Inter,18/08/19,Sassuolo,1-0
Cagliari,18/08/19,Empoli,2-0
Frosinone,18/08/20,Atalanta,4-0
Fiorentina,18/09/19,Sampdoria,1-1
Genoa,18/10/31,AC Milan,2-1
Lazio,18/08/25,Juventus,2-0
AC Milan,18/08/25,Napoli,3-2
Parma,18/08/26,SPAL,1-0
Sassuolo,18/08/26,Cagliari,2-2
Chievo,18/08/26,Fiorentina,6-1
Empoli,18/08/26,Genoa,2-1
Torino,18/08/26,Inter,2-2
Bologna,18/08/26,Frosinone,0-0
Sampdoria,18/08/26,Udinese,1-0
Atalanta,18/08/27,AS Roma,3-3
AS Roma,18/08/31,AC Milan,2-1
Inter,18/01/09,Bologna,0-3
Juventus,18/01/09,Parma,1-2
Udinese,18/02/09,Fiorentina,1-0
Cagliari,18/02/09,Atalanta,0-1
Empoli,18/02/09,Chievo,0-0
Frosinone,18/02/09,Lazio,1-0
Napoli,18/02/09,Sampdoria,3-0
Genoa,18/02/09,Sassuolo,5-3
SPAL,18/02/09,Torino,1-0
Parma,18/09/15,Inter,0-1
Fiorentina,18/09/15,Napoli,1-0
Sampdoria,18/09/15,Frosinone,0-5
Chievo,18/09/16,AS Roma,2-2
Bologna,18/09/16,Genoa,1-0
Torino,18/09/16,Udinese,1-1
Sassuolo,18/09/16,Juventus,2-1
Lazio,18/09/16,Empoli,0-1
AC Milan,18/09/16,Cagliari,1-1
Atalanta,18/09/17,SPAL,2-0
Empoli,18/09/21,Sassuolo,3-1
Cagliari,18/09/22,Parma,2-0
SPAL,18/09/22,Fiorentina,3-0
Inter,18/09/22,Sampdoria,0-1
Napoli,18/09/23,Torino,1-3
AS Roma,18/09/23,Bologna,2-0
Udinese,18/09/23,Chievo,0-2
Genoa,18/09/23,Lazio,4-1
Atalanta,18/09/23,AC Milan,2-2
Juventus,18/09/23,Frosinone,0-2
Fiorentina,18/09/25,Inter,2-1
Lazio,18/09/26,Udinese,1-2
Torino,18/09/26,Atalanta,0-0
Chievo,18/09/26,Genoa,2-0
Sampdoria,18/09/26,Cagliari,0-0
Parma,18/09/26,Napoli,3-0
Frosinone,18/09/26,AS Roma,4-0
Bologna,18/09/26,Juventus,2-0
Sassuolo,18/09/27,SPAL,0-2
AC Milan,18/09/27,Empoli,1-1
Lazio,18/09/29,AS Roma,3-1
Napoli,18/09/29,Juventus,3-1
Cagliari,18/09/29,Inter,2-0
Udinese,18/09/30,Bologna,2-1
Torino,18/09/30,Chievo,0-1
Atalanta,18/09/30,Fiorentina,2-0
Genoa,18/09/30,Frosinone,1-2
Empoli,18/09/30,Parma,1-0
AC Milan,18/09/30,Sassuolo,1-4
SPAL,18/01/10,Sampdoria,2-1
Frosinone,18/05/10,Torino,3-2
Bologna,18/06/10,Cagliari,2-0
Juventus,18/06/10,Udinese,0-2
AS Roma,18/06/10,Empoli,0-2
Parma,18/07/10,Genoa,1-3
Sampdoria,18/07/10,Atalanta,0-1
Fiorentina,18/07/10,Lazio,1-0
Chievo,18/07/10,AC Milan,3-1
Sassuolo,18/07/10,Napoli,2-0
Inter,18/07/10,SPAL,1-2
SPAL,18/10/20,AS Roma,0-2
Genoa,18/10/20,Juventus,1-1
Napoli,18/10/20,Udinese,0-3
Empoli,18/10/21,Frosinone,3-3
Torino,18/10/21,Bologna,2-2
Atalanta,18/10/21,Chievo,1-5
Lazio,18/10/21,Parma,0-2
Cagliari,18/10/21,Fiorentina,1-1
AC Milan,18/10/21,Inter,1-0
Sassuolo,18/10/22,Sampdoria,0-0
Parma,18/10/27,Atalanta,3-0
Juventus,18/10/27,Empoli,1-2
Fiorentina,18/10/27,Torino,1-1
Bologna,18/10/28,Sassuolo,2-2
Udinese,18/10/28,Genoa,2-2
Chievo,18/10/28,Cagliari,2-1
Frosinone,18/10/28,SPAL,0-3
Sampdoria,18/10/28,AC Milan,3-2
AS Roma,18/10/28,Napoli,1-1
Inter,18/10/29,Lazio,0-3
Empoli,18/02/11,Napoli,5-1
Genoa,18/03/11,Inter,5-0
AS Roma,18/03/11,Fiorentina,1-1
Cagliari,18/03/11,Juventus,3-1
SPAL,18/04/11,Lazio,4-1
Sassuolo,18/04/11,Chievo,0-2
