Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year
"37,581",AC Milan,2019-02-03,Sun,AS Roma,1-1,20:30,Stadio Olimpico,(0-1),2019
"44,333",AC Milan,2019-10-27,Sun,AS Roma,2-1,18:00,Stadio Olimpico,(1-0),2019
,AC Milan,2021-02-28,Sun,AS Roma,1-2,20:45,Stadio Olimpico,(0-1),2021
"51,001",AC Milan,2021-10-31,Sun,AS Roma,1-2,20:45,Stadio Olimpico,(0-1),2021
"20,801",AC Milan,2019-02-16,Sat,Atalanta,1-3,20:30,Stadio Atleti Azzurri d'Italia,(1-1),2019
"20,940",AC Milan,2019-12-22,Sun,Atalanta,5-0,12:30,Stadio Atleti Azzurri d'Italia,(1-0),2019
,AC Milan,2021-05-23,Sun,Atalanta,0-2,20:45,Stadio Atleti Azzurri d'Italia,(0-1),2021
"9,363",AC Milan,2021-10-03,Sun,Atalanta,2-3,20:45,Stadio Atleti Azzurri d'Italia,(0-2),2021
"19,216",AC Milan,2022-08-21,Sun,Atalanta,1-1,20:45,Gewiss Stadium,(1-0),2022
,AC Milan,2021-01-03,Sun,Benevento,0-2,18:00,Stadio Ciro Vigorito,(0-1),2021
"22,214",AC Milan,2018-12-18,Tue,Bologna,0-0,20:30,Stadio Renato Dall'Ara,(0-0),2018
"23,707",AC Milan,2019-12-08,Sun,Bologna,2-3,20:45,Stadio Renato Dall'Ara,(1-2),2019
,AC Milan,2021-01-30,Sat,Bologna,1-2,15:00,Stadio Renato Dall'Ara,(0-1),2021
"22,167",AC Milan,2021-10-23,Sat,Bologna,2-4,20:45,Stadio Renato Dall'Ara,(0-2),2021
"19,451",AC Milan,2020-01-24,Fri,Brescia,0-1,20:45,Stadio Mario Rigamonti,(0-0),2020
"16,201",AC Milan,2018-09-16,Sun,Cagliari,1-1,20:30,Sardegna Arena,(1-0),2018
"16,412",AC Milan,2020-01-11,Sat,Cagliari,0-2,15:00,Sardegna Arena,(0-0),2020
,AC Milan,2021-01-18,Mon,Cagliari,0-2,20:45,Sardegna Arena,(0-1),2021
"12,309",AC Milan,2022-03-19,Sat,Cagliari,0-1,20:45,Unipol Domus,(0-0),2022
"20,000",AC Milan,2019-03-09,Sat,Chievo,1-2,20:30,Stadio Marc'Antonio Bentegodi,(1-1),2019
,AC Milan,2020-09-27,Sun,Crotone,0-2,18:00,Stadio Ezio Scida,(0-1),2020
"13,890",AC Milan,2018-09-27,Thu,Empoli,1-1,21:00,Stadio Carlo Castellani,(0-1),2018
"10,596",AC Milan,2021-12-22,Wed,Empoli,2-4,20:45,Stadio Carlo Castellani,(1-2),2021
"15,497",AC Milan,2022-10-01,Sat,Empoli,1-3,20:45,Stadio Carlo Castellani,(0-0),2022
"33,250",AC Milan,2019-05-11,Sat,Fiorentina,0-1,20:30,Stadio Artemio Franchi,(0-1),2019
"39,769",AC Milan,2020-02-22,Sat,Fiorentina,1-1,20:45,Stadio Artemio Franchi,(0-0),2020
,AC Milan,2021-03-21,Sun,Fiorentina,2-3,18:00,Stadio Artemio Franchi,(1-1),2021
"32,567",AC Milan,2021-11-20,Sat,Fiorentina,4-3,20:45,Stadio Artemio Franchi,(2-0),2021
"15,217",AC Milan,2018-12-26,Wed,Frosinone,0-0,12:30,Stadio Benito Stirpe,(0-0),2018
"19,794",AC Milan,2019-01-21,Mon,Genoa,0-2,15:00,Stadio Comunale Luigi Ferraris,(0-0),2019
