Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year,Distance,home_win,home_team_form
"29,500",Juventus,2018-08-18,Sat,Chievo,2-3,18:00,Stadio Marc'Antonio Bentegodi,(1-1),2018,263.58593725305800,0,0.5
"32,000",Napoli,2018-08-18,Sat,Lazio,1-2,20:30,Stadio Olimpico,(1-1),2018,190.3582363177840,0,0.5
"18,000",AS Roma,2018-08-19,Sun,Torino,0-1,18:00,Stadio Olimpico di Torino,(0-0),2018,519.7003731677150,0,0.5
"7,335",Cagliari,2018-08-19,Sun,Empoli,2-0,20:30,Stadio Carlo Castellani,(1-0),2018,525.1469592161860,1,0.5
"19,104",Inter Milan,2018-08-19,Sun,Sassuolo,1-0,20:30,Stadio Città del Tricolore,(1-0),2018,147.23360435549800,1,0.5
"21,158",SPAL,2018-08-19,Sun,Bologna,0-1,20:30,Stadio Renato Dall'Ara,(0-0),2018,45.324924458107300,0,0.5
"13,141",Udinese,2018-08-19,Sun,Parma,2-2,20:30,Stadio Ennio Tardini,(1-0),2018,265.6210908098440,0,0.5
"18,217",Frosinone,2018-08-20,Mon,Atalanta,4-0,20:30,Stadio Atleti Azzurri d'Italia,(1-0),2018,539.5142790373840,1,0.5
"34,474",AC Milan,2018-08-25,Sat,Napoli,3-2,20:30,Stadio San Paolo,(0-1),2018,660.849346236503,1,0.5
"40,171",Lazio,2018-08-25,Sat,Juventus,2-0,18:00,Allianz Stadium,(1-0),2018,525.1018556767370,1,0.5
,Bologna,2018-08-26,Sun,Frosinone,0-0,20:30,Stadio Benito Stirpe,(0-0),2018,357.29078285465200,0,0.5
"27,790",Chievo,2018-08-26,Sun,Fiorentina,6-1,20:30,Stadio Artemio Franchi,(2-0),2018,185.5363832089200,1,0.5
"19,523",Empoli,2018-08-26,Sun,Genoa,2-1,20:30,Stadio Comunale Luigi Ferraris,(2-0),2018,177.77793336261200,1,0.5
"6,000",Parma,2018-08-26,Sun,SPAL,1-0,18:00,Stadio Paolo Mazza,(0-0),2018,100.53829749559100,1,0.5
"15,770",Sampdoria,2018-08-26,Sun,Udinese,1-0,20:30,Dacia Arena,(1-0),2018,381.26174910079500,1,0.5
"14,432",Sassuolo,2018-08-26,Sun,Cagliari,2-2,20:30,Sardegna Arena,(1-0),2018,625.2202021838070,0,0.5
"59,135",Torino,2018-08-26,Sun,Inter Milan,2-2,20:30,Stadio Giuseppe Meazza,(2-0),2018,125.26280395239400,0,0.5
"41,725",Atalanta,2018-08-27,Mon,AS Roma,3-3,20:30,Stadio Olimpico,(1-3),2018,475.0353950263620,0,0.5
"57,789",AS Roma,2018-08-31,Fri,AC Milan,2-1,20:30,Stadio Giuseppe Meazza,(1-0),2018,476.62238398594400,1,0.5
"26,082",Inter Milan,2018-09-01,Sat,Bologna,0-3,18:00,Stadio Renato Dall'Ara,(0-0),2018,204.45103811272000,0,0.5
"20,814",Juventus,2018-09-01,Sat,Parma,1-2,20:30,Stadio Ennio Tardini,(1-1),2018,215.69342118298300,0,0.5
"17,709",Cagliari,2018-09-02,Sun,Atalanta,0-1,20:30,Stadio Atleti Azzurri d'Italia,(0-1),2018,724.4648430005950,0,0.5
"8,100",Empoli,2018-09-02,Sun,Chievo,0-0,20:30,Stadio Marc'Antonio Bentegodi,(0-0),2018,189.89115251897200,0,0.5
